Precincts,Borough,Crime,Latitude,Longitude
47,Bronx,"HARASSMENT,SUBD 3,4,5",40.877221709000025,-73.84959837499997
76,Brooklyn,"LARCENY,PETIT OF LICENSE PLATE",40.67659134100006,-73.99112186899998
60,Brooklyn,"LARCENY,PETIT FROM AUTO",40.579451766000034,-73.97960775899996
43,Bronx,"TRESPASS 2, CRIMINAL",40.83791480900004,-73.86053626599994
43,Bronx,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",40.82731347600002,-73.87887459299998
114,Queens,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.75407111800007,-73.93401836499999
19,Manhattan,"FRAUD,UNCLASSIFIED-FELONY",40.76187469000007,-73.96635808399996
104,Queens,"MISCHIEF, CRIMINAL 3 & 2, OF M",40.70461472900007,-73.89824552899995
71,Brooklyn,"MISCHIEF, CRIMINAL 4, OF MOTOR",40.67163678100008,-73.96262203799995
42,Bronx,"ROBBERY,RESIDENTIAL COMMON AREA",40.83324244300008,-73.89022158999995
42,Bronx,"HARASSMENT,SUBD 1,CIVILIAN",40.83509424700002,-73.90804891499994
49,Bronx,"HARASSMENT,SUBD 3,4,5",40.868559264000055,-73.853728904
43,Bronx,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.82587508000006,-73.84646970699998
43,Bronx,"HARASSMENT,SUBD 3,4,5",40.834954553000046,-73.87867276499998
18,Manhattan,"LARCENY,GRAND FROM STORE-SHOPL",40.758232371000084,-73.97743058499998
47,Bronx,ASSAULT 3,40.87720882700007,-73.86586710099994
77,Brooklyn,"HARASSMENT,SUBD 3,4,5",40.67302506400005,-73.93631561299998
83,Brooklyn,ASSAULT 3,40.69773719600005,-73.92857085299994
102,Queens,"FRAUD,UNCLASSIFIED-FELONY",40.70678784500007,-73.83391089399998
79,Brooklyn,"HARASSMENT,SUBD 3,4,5",40.68684680200005,-73.95820729499997
104,Queens,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",40.70791612200002,-73.91080687
104,Queens,RECKLESS ENDANGERMENT 2,40.72629842100008,-73.90147394199995
47,Bronx,"HARASSMENT,SUBD 3,4,5",40.89088880100008,-73.85707957599993
72,Brooklyn,"BURGLARY,RESIDENCE,NIGHT",40.646448497000044,-73.99817443899997
90,Brooklyn,"HARASSMENT,SUBD 3,4,5",40.707730885000046,-73.95590744599998
108,Queens,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",40.74322456500005,-73.90716163499997
75,Brooklyn,ASSAULT 3,40.66428001100008,-73.89193786299995
26,Manhattan,"LARCENY,GRAND BY THEFT OF CREDIT CARD",40.81308865800003,-73.95797991099995
9,Manhattan,AGGRAVATED HARASSMENT 2,40.72380251300007,-73.97906933499998
78,Brooklyn,AGGRAVATED HARASSMENT 2,40.673127111000035,-73.97198338699997
5,Manhattan,"MISCHIEF, CRIMINAL 4, OF MOTOR",40.70949307700005,-73.99402470299998
111,Queens,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.748882845000026,-73.75732170999999
94,Brooklyn,"SEXUAL ABUSE 3,2",40.72688262400004,-73.95287134799997
62,Brooklyn,"LARCENY,PETIT FROM STORE-SHOPL",40.60673687000008,-74.00177693799998
17,Manhattan,LEAVING SCENE-ACCIDENT-PERSONA,40.75682016800005,-73.971143263
52,Bronx,"ROBBERY,DELIVERY PERSON",40.86464556900006,-73.89415390399995
108,Queens,"FRAUD,UNCLASSIFIED-MISDEMEANOR",40.74941072000007,-73.93934644599993
83,Brooklyn,"MISCHIEF, CRIMINAL 4, OF MOTOR",40.70570763600006,-73.92372564399994
115,Queens,ASSAULT 3,40.75709175800005,-73.87086997299998
121,Staten Island,SEXUAL ABUSE,40.62368882200008,-74.15065813299998
78,Brooklyn,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.67767165600003,-73.96885933499993
75,Brooklyn,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.67761246600002,-73.90233902199996
48,Bronx,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",40.84032552000008,-73.88914736699996
40,Bronx,"ASSAULT 2,1,UNCLASSIFIED",40.82176898500006,-73.91199471599998
72,Brooklyn,"HARASSMENT,SUBD 3,4,5",40.65519339100007,-73.99983926199997
30,Manhattan,"LARCENY,PETIT FROM AUTO",40.82862324000007,-73.94384883699998
14,Manhattan,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",40.75259639100005,-73.98946951099998
52,Bronx,ASSAULT POLICE/PEACE OFFICER,40.864256195000046,-73.90399554199998
75,Brooklyn,"LARCENY,PETIT FROM AUTO",40.67412866900003,-73.89838937699994
47,Bronx,"ROBBERY,OPEN AREA UNCLASSIFIED",40.87788686600004,-73.86595251999995
106,Queens,"BURGLARY,RESIDENCE,DAY",40.67914596100008,-73.84836140199997
47,Bronx,WEAPONS POSSESSION 1 & 2,40.87538575600007,-73.85191313299998
115,Queens,LEAVING SCENE-ACCIDENT-PERSONA,40.75656758500002,-73.87593153399997
68,Brooklyn,WEAPONS POSSESSION 3,40.631310548000044,-74.01033049899996
44,Bronx,"HARASSMENT,SUBD 3,4,5",40.82742104700003,-73.91290142199995
43,Bronx,"LARCENY,PETIT FROM AUTO",40.81572025100007,-73.86450258499997
46,Bronx,"LARCENY,PETIT FROM AUTO",40.85359836700008,-73.90057688099995
44,Bronx,"FORGERY,ETC.,UNCLASSIFIED-FELO",40.83617129100002,-73.92473250599994
48,Bronx,"HARASSMENT,SUBD 3,4,5",40.84323973700003,-73.88845580899994
66,Brooklyn,"LARCENY,GRAND BY EXTORTION",40.63639891300004,-73.98531915399997
30,Manhattan,CRIMINAL MIS 2 & 3,40.82139271900007,-73.95414124099993
62,Brooklyn,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.62284057100004,-73.99794093399998
49,Bronx,"HARASSMENT,SUBD 1,CIVILIAN",40.857454424000025,-73.84754276399997
75,Brooklyn,LEAVING SCENE-ACCIDENT-PERSONA,40.67134926000005,-73.89958683499998
84,Brooklyn,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",40.704093500000056,-73.98659183099994
115,Queens,CRIMINAL CONTEMPT 1,40.75718954600006,-73.86996017499997
